Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2011,2011,toneladas,2009945
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2012,2012,kg/ha,4040.3
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2012,2012,toneladas,1945400
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2013,2013,kg/ha,3844.8
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2013,2013,toneladas,2044300
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2014,2014,kg/ha,4018
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2014,2014,toneladas,1853500
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2015,2015,kg/ha,4130
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2015,2015,toneladas,2093100
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2016,2016,kg/ha,4332.3
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2016,2016,toneladas,2645300
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2017,2017,kg/ha,4080.8
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2017,2017,toneladas,2703100
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2018,2018,kg/ha,4392.2
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2018,2018,toneladas,2591400
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2019,2019,kg/ha,4465.7
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2019,2019,toneladas,2639200
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2020,2020,kg/ha,4631.9
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2020,2020,toneladas,3038500
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2021,2021,kg/ha,4480.5
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2021,2021,toneladas,2980400
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2022,2022,kg/ha,4630.7
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2022,2022,toneladas,2608500
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2023,2023,kg/ha,4503.5
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2023,2023,toneladas,3006100
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,27,Arroz,2024,2024,kg/ha,4500.6
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,27,Arroz,2024,2024,toneladas,2823000
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2000,2000,kg/ha,1076.2
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2000,2000,toneladas,124559
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2001,2001,kg/ha,1074.5
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2001,2001,toneladas,124166
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2002,2002,kg/ha,1071.3
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2002,2002,toneladas,117123
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2003,2003,kg/ha,1087.6
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2003,2003,toneladas,124920
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2004,2004,kg/ha,1119.2
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2004,2004,toneladas,127194
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2005,2005,kg/ha,1154.3
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2005,2005,toneladas,143834
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2006,2006,kg/ha,1132.2
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2006,2006,toneladas,136514
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2007,2007,kg/ha,1195.8
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2007,2007,toneladas,156236
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2008,2008,kg/ha,1221.5
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2008,2008,toneladas,160883
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2009,2009,kg/ha,1194.4
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2009,2009,toneladas,147017
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2010,2010,kg/ha,1156.3
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2010,2010,toneladas,136626
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2011,2011,kg/ha,1122.3
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2011,2011,toneladas,129672
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2012,2012,kg/ha,1178
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2012,2012,toneladas,138324.32
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2013,2013,kg/ha,1168.9
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2013,2013,toneladas,142163
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2014,2014,kg/ha,1225.3
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2014,2014,toneladas,149111.72
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2015,2015,kg/ha,1093.3
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2015,2015,toneladas,136847.22
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2016,2016,kg/ha,915.3
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2016,2016,toneladas,108866.57
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2017,2017,kg/ha,1318.8
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2017,2017,toneladas,122783
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2018,2018,kg/ha,1241.8
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2018,2018,toneladas,98504
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,176,"Frijoles, secos",2019,2019,kg/ha,624.4
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,176,"Frijoles, secos",2019,2019,toneladas,54147
